Laptop,Status,Brand,Model,RAM,Storage,Storage type,Screen,Touch,Final Price,CPU_Brand,GPU_Brand,CPU_Type,GPU_Type,GPU_Category
"MSI Modern 15 B11M-043XES Intel Core i5-1155G7/8GB/512GB SSD/15.6""",0,14,68,8,512,0,15.6,0,599.0,2,3,11,7,1
"ASUS ZenBook 13 OLED UX325EA-KG448W Intel Core i7-1165G7/16GB/512GB SSD/13.3""",0,3,120,16,512,0,13.3,0,1199.0,2,3,12,7,1
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",0,3,98,16,512,0,15.6,0,949.0,2,6,11,17,0
"ASUS VivoBook F1605PA-MB125W Intel Core i5-11300H/16GB/512GB SSD/16""",0,3,113,16,512,0,16.0,0,799.0,2,3,11,7,1
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",0,21,22,16,1000,0,15.6,0,3299.99,2,6,12,24,0
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/256GB SSD/15.6""",0,15,15,8,256,0,15.6,0,478.99,0,3,8,7,1
"ASUS ExpertBook B1 B1502CBA-EJ0469X Intel Core i5-1235U/8GB/256GB SSD/15.6""",0,3,42,8,256,0,15.6,0,989.0,2,3,11,7,1
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",0,13,56,8,256,0,15.6,0,439.99,0,3,6,7,1
"HP 15S-eq2089ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",0,9,4,8,256,0,15.6,0,529.0,0,3,6,7,1
"ASUS VivoBook F1605PA-MB143 Intel Core i7-11370H/8GB/512GB SSD/16""",0,3,113,8,512,0,16.0,0,709.0,2,3,12,7,1
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",0,3,113,8,512,0,15.6,0,509.99,0,0,7,0,3
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,659.0,0,3,7,7,1
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512GBSSD/15.6""",0,13,56,16,512,0,15.6,0,749.0,2,3,12,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8GB/512 GB SSD/15.6""",0,13,56,8,512,0,15.6,0,589.0,0,3,8,7,1
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,549.0,0,3,7,7,1
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256 GB SSD/15.6""",0,13,56,8,256,0,15.6,0,459.0,0,3,6,7,1
"ASUS VivoBook F1605PA-MB124W Intel Core i7-11370H/8GB/512GB SSD/16""",0,3,113,8,512,0,16.0,0,819.0,2,3,12,7,1
"ASUS VivoBook F1605PA-MB146 Intel Core i5-11300H/8GB/512GB SSD/16""",0,3,113,8,512,0,16.0,0,609.01,2,3,11,7,1
"ASUS ZenBook 14 UM425QA-KI252 AMD Ryzen 7 5800H/16GB/512GB SSD/14""",0,3,120,16,512,0,14.0,0,999.0,0,3,8,7,1
"Acer Aspire 3 A315-59-504M Intel Core i5-1235U/16GB/512GB SSD/15.6""",0,0,19,16,512,0,15.6,0,739.01,2,3,11,7,1
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",0,13,56,16,512,0,15.6,0,1399.0,2,6,12,23,0
"ASUS VivoBook F1500EA-EJ3070W Intel Core i5-1135G7/16GB/512GB SSD/15.6""",0,3,113,16,512,0,15.6,0,759.01,2,3,11,7,1
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",0,13,56,16,512,0,15.6,0,729.0,0,3,7,7,1
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16GB/512GB SSD/15.6""",0,13,56,16,512,0,15.6,0,749.0,2,3,11,7,1
"HP 255 G9 AMD Athlon 3020e/8GB/256GB SSD/15.6""",0,9,8,8,256,0,15.6,0,349.0,0,3,0,7,1
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8 GB/256GBSSD/15.6""",0,13,56,8,256,0,15.6,0,479.0,2,3,10,7,1
"HP 255 G9 AMD Ryzen 5 5625U/16GB/512 GB SSD/15.6""",0,9,8,16,512,0,15.6,0,873.29,0,3,7,7,1
"Lenovo IdeaPad 5 15ALC05 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",0,13,56,8,512,0,15.6,0,589.0,0,3,7,7,1
"ASUS Chromebook CX1400CKA-EK0138 Intel Celeron N4500/8GB/64GB eMMC/14""",0,3,26,8,64,1,14.0,0,399.01,2,3,1,7,1
"Lenovo Legion 5 15ACH6H AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3050Ti/15.6""",0,13,61,16,512,0,15.6,0,1079.01,0,6,8,22,0
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Azul",0,13,56,8,512,0,15.6,0,649.0,2,3,11,7,1
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050Ti/15.6""",0,13,56,16,512,0,15.6,0,999.0,0,6,8,22,0
"Lenovo ThinkBook 14 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/14""",0,13,101,16,512,0,14.0,0,1019.0,2,3,11,7,1
"MSI Pulse GL76 12UEK-828XES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",0,14,86,32,1000,0,17.3,0,1499.0,2,6,12,23,0
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Gris Espacial",0,2,65,8,256,0,13.6,0,1519.0,1,3,2,7,1
"Acer Aspire 3 A317-53-53U0 Intel Core i5-1135G7/8GB/512GB SSD/17.3""",0,0,19,8,512,0,17.3,0,729.0,2,3,11,7,1
"MSI Raider GE68HX 13VF-045XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",0,14,88,32,1000,0,16.0,0,2599.0,2,6,13,27,0
"HP 15S-fq4042ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,699.0,2,3,12,7,1
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",0,13,61,16,512,0,15.6,0,1599.0,2,6,12,23,0
"HP ProBook 450 G8 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",0,9,85,8,256,0,15.6,0,739.01,2,3,11,7,1
"ASUS VivoBook 15 F1500EA-EJ3021 Intel Core i5-1135G7/16GB/512GB SSD/15.6""",0,3,113,16,512,0,15.6,0,709.0,2,3,11,7,1
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050Ti/15.6""",0,13,56,16,512,0,15.6,0,1059.0,2,6,11,22,0
"MSI Modern 14 C13M-447XES Intel Core i5-1335U/16GB/512GB SSD/14""",0,14,68,16,512,0,14.0,0,799.0,2,3,11,7,1
"MSI Modern 14 C12M-017XES Intel Core i7-1255U/16GB/512GB SSD/14""",0,14,68,16,512,0,14.0,0,999.0,2,3,12,7,1
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",1,13,56,16,512,0,15.6,0,899.0,2,3,12,7,1
"MSI Pulse 15 B13VGK-433XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/15.6""",0,14,86,32,1000,0,15.6,0,2299.0,2,6,13,28,0
MSI Stealth 15 A13VF-028XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/15.6'',0,14,92,32,1000,0,15.6,0,1899.0,2,6,12,27,0
"ASUS Chromebook CX1400FKA-EC0078 Intel Celeron N4500/8GB/64GB eMMC/14"" Táctil",0,3,26,8,64,1,14.0,1,449.0,2,3,1,7,1
"Lenovo V15 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/15.6""",0,13,108,16,512,0,15.6,0,699.0,2,3,11,7,1
"ASUS Chromebook CX1400CNA-BV0210 Intel Celeron N3350/8GB/32GB/14""",0,3,26,8,32,0,14.0,0,349.0,2,3,1,7,1
"MSI Vector GP68HX 12VH-009XES Intel Core i9-12900HX/32GB/1TB SSD/RTX 4080/16""",0,14,111,32,1000,0,16.0,0,2599.0,2,6,13,29,0
"HP 15S-fq5075ns Intel Core i5-1235U/8GB/512GB SSD/15.6""",0,9,4,8,512,0,15.6,0,579.01,2,3,11,7,1
"Acer Aspire 3 A315-59-56GV Intel Core i5-1235U/8GB/512GB SSD/15.6""",0,0,19,8,512,0,15.6,0,749.0,2,3,11,7,1
"ASUS ExpertBook P1512CEA-EJ0083X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",0,3,42,8,256,0,15.6,0,549.0,2,3,10,7,1
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16GB/512GB SSD/RTX3050/15.6""",0,13,56,16,512,0,15.6,0,979.0,0,6,7,22,0
"ASUS ZenBook 14 OLED UM3402YA-KM513 AMD Ryzen 5 7530U/16GB/512GB SSD/14""",0,3,120,16,512,0,14.0,0,969.0,0,3,7,7,1
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16GB/512GB SSD/RTX3050/15.6""",0,13,56,16,512,0,15.6,0,1099.0,2,6,11,22,0
"Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6""",0,13,61,16,512,0,15.6,0,1319.01,2,6,11,23,0
"Lenovo IdeaPad Flex 5 14ALC05 AMD Ryzen 5 5500U/16GB/512GB SSD/14"" Táctil",0,13,56,16,512,0,14.0,1,799.0,0,3,7,7,1
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Plata",0,2,65,8,256,0,13.3,0,1219.0,1,3,2,7,1
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512GB SSD/GTX1650/15.6""",0,13,56,16,512,0,15.6,0,879.0,0,2,7,5,2
"MSI Prestige 14H B12UCX-427XES Intel Core i7-12650H/32GB/1TB SSD/RTX 2050/14""",0,14,83,32,1000,0,14.0,0,1359.0,2,6,12,17,0
"ASUS F515EA-EJ1858W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",0,3,46,8,512,0,15.6,0,839.0,2,3,12,7,1
"Gigabyte G5 KF-E3ES313SD Intel Core i5-12500H/16GB/512GB SSD/RTX 4060/15.6""",0,8,49,16,512,0,15.6,0,1109.0,2,6,11,27,0
